               post_id                |                          post_title                          | post_type |      post_created_at       |      username       |     date_of_birth      |                                                                                post_summary                                                                                 |                                       categories                                       
--------------------------------------+--------------------------------------------------------------+-----------+----------------------------+---------------------+------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------------------------------------------------------------------------------
 0bae691e-2f18-4be8-9db4-6cee7346911c | להתקבל ליחידת כלבנים                                         |         1 | 2025-08-06 09:21:43.142+00 | Naama_Roded         | 1998-08-02 00:00:00+00 |                                                                                                                                                                             | Category: , SubCategory: 
 07baa4f0-0cb8-4886-8d52-2f4d8fcf4533 | לאמץ לבצע אורך  מינימליסטי ולהיפטר מכל דבר לא נחוץ ומיותר    |         1 | 2025-08-06 09:18:15.388+00 | lene                | 1964-06-02 00:00:00+00 |                                                                                                                                                                             | Category: , SubCategory: 
 67170660-68aa-44a3-b8fd-e1df1ceb7003 | לפתוח אתר קניות מוצלח כמו שיין וסאפורו עם דברים של בנות      |         1 | 2025-08-06 09:13:46.947+00 | agam_glassman       | 2010-07-27 00:00:00+00 |                                                                                                                                                                             | Category: , SubCategory: 
 74eb2e16-1bf7-4418-ae7c-5f391f757619 | אופנוע לילדים ללא רישיון לבני נוער עד גיל 16                 |         1 | 2025-08-06 09:11:31.139+00 | obvious             | 2005-01-06 00:00:00+00 |                                                                                                                                                                             | Category: , SubCategory: 
 24b987d7-2dac-4337-9b72-23b81e82fccf | ליצור ערוץ טיק טוק מצליח שיהיה עם מיליון עוקבים כמו של ישראב |         1 | 2025-08-06 09:05:49.166+00 | thhdhuytjh          | 2005-12-24 00:00:00+00 |                                                                                                                                                                             | Category: , SubCategory: 
 cba4c696-0539-46f4-94ba-4553d7fd6c94 | לרכוש 3 נכסי נדל״ן                                           |         1 | 2025-08-06 09:02:35.6+00   | maayan_oz           | 1979-09-25 00:00:00+00 |                                                                                                                                                                             | Category: , SubCategory: 
 b6897bb3-d178-431b-84bf-6a1ee0325bc2 | לעזור לאחרים                                                 |         1 | 2025-08-06 08:50:28.895+00 | lev_gassul          | 2006-02-02 00:00:00+00 |                                                                                                                                                                             | Category: , SubCategory: 
 04bd981c-7ff5-4c70-84e8-4918bbd894b8 | למכור את הבית המדהים שלי בקוסטה ריקה                         |         1 | 2025-08-06 08:44:42.413+00 | EfiA                | 1978-10-14 00:00:00+00 |                                                                                                                                                                             | Category: , SubCategory: 
 cdb91d74-3dd2-432a-ada6-df0eed1cfe76 | public speaking                                              |         1 | 2025-08-06 08:34:24.263+00 | the_vinchy          | 1999-08-09 00:00:00+00 |                                                                                                                                                                             | Category: , SubCategory: 
 96a7eb12-64c0-4bda-a667-54d16f9e2e9d | לצאת לפראמדיקים                                              |         1 | 2025-08-06 08:21:40.01+00  | hadrco              | 2009-02-23 00:00:00+00 |                                                                                                                                                                             | Category: , SubCategory: 
 01ed41e5-b079-4d36-9d14-4856c753f84f | להיות לוחמת ביחידת 669                                       |         1 | 2025-08-06 08:16:55.687+00 | Harel_dabush        | 2011-01-01 00:00:00+00 |                                                                                                                                                                             | Category: , SubCategory: 
 02687d6b-b04e-4b31-b371-f300b4742c82 | ליהיות שחקן כדורגל                                           |         1 | 2025-08-06 08:12:38.605+00 | Dvir5577            | 2010-01-11 00:00:00+00 |                                                                                                                                                                             | Category: , SubCategory: 
 d0b31782-d7b9-4863-b67e-28471e62dd3d | Establish family business with my husband                    |         1 | 2025-08-06 08:11:49.036+00 | hadar_ka            | 1987-12-11 00:00:00+00 |                                                                                                                                                                             | Category: , SubCategory: 
 6b715466-5b22-47a4-bd49-00409b6d2aa7 | להצליח תרגילים קשים בטירוף באקורובטיקה                       |         1 | 2025-08-06 07:43:19.586+00 | Yardan_s            | 2012-08-05 00:00:00+00 |                                                                                                                                                                             | Category: , SubCategory: 
 d88ecbeb-97f2-47e5-9cee-5ea3c7b273a6 | לזכות בלוטו                                                  |         1 | 2025-08-06 07:22:43.198+00 | tmny                | 1998-08-20 00:00:00+00 |                                                                                                                                                                             | Category: , SubCategory: 
 a3a97f63-4474-408a-a6fb-6c693310d4b9 | Building a shed in my backyard                               |         1 | 2025-08-06 07:09:49.683+00 | marc6               | 1970-11-22 00:00:00+00 |                                                                                                                                                                             | Category: , SubCategory: 
 ec34e46f-e776-4e36-aac7-06e15473b79b | למצוא לבן שלי נגר שילמד אותו את רזי המקצוע בירושלים          |         1 | 2025-08-06 06:45:25.868+00 | eve11               | 1975-03-21 00:00:00+00 |                                                                                                                                                                             | Category: , SubCategory: 
 da3a4429-0bc9-49c7-ac73-49155fabe9d8 | לקנות דירה                                                   |         1 | 2025-08-06 06:34:54.543+00 | obso                | 1999-03-04 00:00:00+00 |                                                                                                                                                                             | Category: , SubCategory: 
 ad945572-e253-47ce-8e79-00556e3f7487 | להגיע לגוף שרירי וחטוב                                       |         1 | 2025-08-06 06:32:28.831+00 | FusionCore          | 2001-01-01 00:00:00+00 |                                                                                                                                                                             | Category: , SubCategory: 
 d1befe12-53ac-4894-a78a-6849f4c7d9b4 | פלייסטיישן 5                                                 |         1 | 2025-08-06 06:29:13.934+00 | ycyc1309            | 2010-09-13 00:00:00+00 |                                                                                                                                                                             | Category: , SubCategory: 
